,Id,OwnerUserId,CreationDate,ParentId,Score,Body
982783,18165297,1145666.0,2013-08-10T18:52:13Z,18165270,0,"<ol>
<li>That's not a parent class, but an interface.</li>
<li>You can have an <code>enum</code> inside a class, you'd refer to it as <code>ClassA.ConditionEnum.*</code>:</li>
</ol>

<p>.</p>

<pre><code>class MyClass : IArticle {
    public enum ConditionEnum { Red, Blue, Yellow };

    public ConditionEnum myenum;
}

MyClass c = new MyClass();
c.myenum = MyClass.ConditionEnum.Red;
</code></pre>
"
982784,18165304,811785.0,2013-08-10T18:52:35Z,18165270,2,"<p>Since <a href=""http://stackoverflow.com/questions/757684/enum-inheritance""><code>enums</code> can't derive from other <code>enum</code> types or interfaces</a>, it's almost impossible. What you describe seems polymorphism to me. But AMAIK, you can't apply polymorphism to enums.</p>
"
982785,18165306,22656.0,2013-08-10T18:52:46Z,18165270,5,"<p>You could make your interface generic:</p>

<pre><code>public interface IArticle&lt;T&gt; where T : struct
{
    T ConditionStatus { get; set; }
}

public class ArticleA : IArticle&lt;ColorEnum&gt;
{
    public ColorEnum ConditionStatus { get; set; }
}

public class ArticleB : IArticle&lt;PunctuationEnum&gt;
{
    public PunctuationEnum ConditionStatus { get; set; }
}
</code></pre>

<p>Note that you can't enforce that <code>T</code> is an enum... and you do need to specify which enum your implementation will use. It's not entirely clear whether that's going to help you or not, but it's about all there is...</p>
"
24513,450785,23713.0,2009-01-16T15:39:03Z,450630,0,"<p>In my experience, some of these tools are capable of looping forever (qt4: lupdate/lrelease for sure).</p>
"
1914581,37964197,1322150.0,2016-06-22T09:40:57Z,37279810,0,"<p>As I understood <a href=""http://docs.phinx.org/en/latest/migrations.html#limit-option-and-mysql"" rel=""nofollow"">limit option</a> <code>MysqlAdapter::INT_REGULAR</code> is something like predefined types in Phinx. But you can also use your own <code>limit</code> variable.</p>

<p>Here is an example:</p>

<pre><code>// using Phinx 0.5.4
public function change() {
  $table = $this-&gt;table('papers');
  $table-&gt;addColumn('user_id', 'integer', ['limit' =&gt; 2])
        -&gt;addColumn('book_id', 'integer') // by default will be int(11)
        -&gt;addColumn('bank_id', 'integer', ['limit' =&gt; 32])
        -&gt;create();
</code></pre>

<p>}</p>

<p>MySQL describe results:</p>

<pre><code>+---------+---------+------+-----+---------+----------------+
| Field   | Type    | Null | Key | Default | Extra          |
+---------+---------+------+-----+---------+----------------+
| id      | int(11) | NO   | PRI | NULL    | auto_increment |
| user_id | int(2)  | NO   |     | NULL    |                |
| book_id | int(11) | NO   |     | NULL    |                |
| bank_id | int(32) | NO   |     | NULL    |                |
+---------+---------+------+-----+---------+----------------+
</code></pre>

<p>To get more information please check the <a href=""https://github.com/robmorgan/phinx/blob/0.6.x-dev/src/Phinx/Db/Adapter/MysqlAdapter.php#L735"" rel=""nofollow"">source code</a> of <code>getSqlType()</code> and <a href=""https://github.com/robmorgan/phinx/blob/0.6.x-dev/src/Phinx/Db/Adapter/MysqlAdapter.php#L871"" rel=""nofollow"">source code</a> of <code>getPhinxType()</code> functions.</p>
"
1749268,34371061,5110855.0,2015-12-19T13:00:23Z,34189440,0,"<p>Perhaps you don't let time to ""OnFinalize"" to execute. Here is a working sample code (based on <a href=""https://msdn.microsoft.com/en-us/library/windows/desktop/ff819477(v=vs.85).aspx"" rel=""nofollow"">Sink Writer Tutorial</a>) :</p>

<pre><code>#include &lt;Windows.h&gt;
#include &lt;mfapi.h&gt;
#include &lt;mfidl.h&gt;
#include &lt;Mfreadwrite.h&gt;
#include &lt;mferror.h&gt;
#include &lt;Shlwapi.h&gt;
#include &lt;new&gt;

#pragma comment(lib, ""mfreadwrite"")
#pragma comment(lib, ""mfplat"")
#pragma comment(lib, ""mfuuid"")
#pragma comment(lib, ""Shlwapi"")

template &lt;class T&gt; void SafeRelease(T **ppT){

    if(*ppT){
        (*ppT)-&gt;Release();
        *ppT = NULL;
    }
}

// Format constants
const UINT32 VIDEO_WIDTH = 640;
const UINT32 VIDEO_HEIGHT = 480;
const UINT32 VIDEO_FPS = 30;
const UINT64 VIDEO_FRAME_DURATION = 10 * 1000 * 1000 / VIDEO_FPS;
const UINT32 VIDEO_BIT_RATE = 800000;
const GUID   VIDEO_ENCODING_FORMAT = MFVideoFormat_WMV3;
const GUID   VIDEO_INPUT_FORMAT = MFVideoFormat_RGB32;
const UINT32 VIDEO_PELS = VIDEO_WIDTH * VIDEO_HEIGHT;
const UINT32 VIDEO_FRAME_COUNT = 20 * VIDEO_FPS;

// Buffer to hold the video frame data.
DWORD videoFrameBuffer[VIDEO_PELS];

class CMFSinkWriterCallback : public IMFSinkWriterCallback{

    public:

      CMFSinkWriterCallback(HANDLE hFinalizeEvent) : m_nRefCount(1), m_hFinalizeEvent(hFinalizeEvent){}
      virtual ~CMFSinkWriterCallback(){}

      // IMFSinkWriterCallback methods
      STDMETHODIMP OnFinalize(HRESULT hrStatus){

        OutputDebugString(L""CMFSinkWriterCallback::OnFinalize\n"");

            if(m_hFinalizeEvent != NULL){
                SetEvent(m_hFinalizeEvent);
            }

            return hrStatus;
        }

      STDMETHODIMP OnMarker(DWORD dwStreamIndex, LPVOID pvContext){

        return S_OK;
      }

      // IUnknown methods
      STDMETHODIMP QueryInterface(REFIID riid, void** ppv){

        static const QITAB qit[] = {
            QITABENT(CMFSinkWriterCallback, IMFSinkWriterCallback),
            {0}
        };

        return QISearch(this, qit, riid, ppv);
      }

      STDMETHODIMP_(ULONG) AddRef(){

        return InterlockedIncrement(&amp;m_nRefCount);
      }

      STDMETHODIMP_(ULONG) Release(){

        ULONG refCount = InterlockedDecrement(&amp;m_nRefCount);

        if(refCount == 0){
            delete this;
        }

        return refCount;
      }

    private:

      volatile long m_nRefCount;
      HANDLE m_hFinalizeEvent;
};


HRESULT InitializeSinkWriter(IMFSinkWriter **ppWriter, DWORD *pStreamIndex, IMFSinkWriterCallback* pCallBack){

    *ppWriter = NULL;
    *pStreamIndex = NULL;

    IMFAttributes   *pAttributes = NULL;
    IMFSinkWriter   *pSinkWriter = NULL;
    IMFMediaType    *pMediaTypeOut = NULL;
    IMFMediaType    *pMediaTypeIn = NULL;
    DWORD           streamIndex = 0;

    // Create the empty attribute store.
    HRESULT hr = MFCreateAttributes(&amp;pAttributes, 1);

    if(SUCCEEDED(hr)){
        hr = pAttributes-&gt;SetUnknown(MF_SINK_WRITER_ASYNC_CALLBACK, pCallBack);
    }

    if(SUCCEEDED(hr)){
        hr = MFCreateSinkWriterFromURL(L""output.wmv"", NULL, pAttributes, &amp;pSinkWriter);
    }

    // Set the output media type.
    if(SUCCEEDED(hr)){
        hr = MFCreateMediaType(&amp;pMediaTypeOut);
    }

    if(SUCCEEDED(hr)){
        hr = pMediaTypeOut-&gt;SetGUID(MF_MT_MAJOR_TYPE, MFMediaType_Video);
    }

    if(SUCCEEDED(hr)){
        hr = pMediaTypeOut-&gt;SetGUID(MF_MT_SUBTYPE, VIDEO_ENCODING_FORMAT);
    }

    if(SUCCEEDED(hr)){
        hr = pMediaTypeOut-&gt;SetUINT32(MF_MT_AVG_BITRATE, VIDEO_BIT_RATE);
    }

    if(SUCCEEDED(hr)){
        hr = pMediaTypeOut-&gt;SetUINT32(MF_MT_INTERLACE_MODE, MFVideoInterlace_Progressive);
    }

    if(SUCCEEDED(hr)){
        hr = MFSetAttributeSize(pMediaTypeOut, MF_MT_FRAME_SIZE, VIDEO_WIDTH, VIDEO_HEIGHT);
    }

    if(SUCCEEDED(hr)){
        hr = MFSetAttributeRatio(pMediaTypeOut, MF_MT_FRAME_RATE, VIDEO_FPS, 1);
    }

    if(SUCCEEDED(hr)){
        hr = MFSetAttributeRatio(pMediaTypeOut, MF_MT_PIXEL_ASPECT_RATIO, 1, 1);
    }

    if(SUCCEEDED(hr)){
        hr = pSinkWriter-&gt;AddStream(pMediaTypeOut, &amp;streamIndex);
    }

    // Set the input media type.
    if(SUCCEEDED(hr)){
        hr = MFCreateMediaType(&amp;pMediaTypeIn);
    }

    if(SUCCEEDED(hr)){
        hr = pMediaTypeIn-&gt;SetGUID(MF_MT_MAJOR_TYPE, MFMediaType_Video);
    }

    if(SUCCEEDED(hr)){
        hr = pMediaTypeIn-&gt;SetGUID(MF_MT_SUBTYPE, VIDEO_INPUT_FORMAT);
    }

    if(SUCCEEDED(hr)){
        hr = pMediaTypeIn-&gt;SetUINT32(MF_MT_INTERLACE_MODE, MFVideoInterlace_Progressive);
    }

    if(SUCCEEDED(hr)){
        hr = MFSetAttributeSize(pMediaTypeIn, MF_MT_FRAME_SIZE, VIDEO_WIDTH, VIDEO_HEIGHT);
    }

    if(SUCCEEDED(hr)){
        hr = MFSetAttributeRatio(pMediaTypeIn, MF_MT_FRAME_RATE, VIDEO_FPS, 1);
    }

    if(SUCCEEDED(hr)){
        hr = MFSetAttributeRatio(pMediaTypeIn, MF_MT_PIXEL_ASPECT_RATIO, 1, 1);
    }

    if(SUCCEEDED(hr)){
        hr = pSinkWriter-&gt;SetInputMediaType(streamIndex, pMediaTypeIn, NULL);
    }

    // Tell the sink writer to start accepting data.
    if(SUCCEEDED(hr)){
        hr = pSinkWriter-&gt;BeginWriting();
    }

    // Return the pointer to the caller.
    if(SUCCEEDED(hr)){
        *ppWriter = pSinkWriter;
        (*ppWriter)-&gt;AddRef();
        *pStreamIndex = streamIndex;
    }

    SafeRelease(&amp;pAttributes);
    SafeRelease(&amp;pSinkWriter);
    SafeRelease(&amp;pMediaTypeOut);
    SafeRelease(&amp;pMediaTypeIn);

    return hr;
}

HRESULT WriteFrame(IMFSinkWriter *pWriter, DWORD streamIndex, const LONGLONG&amp; rtStart){

    IMFSample *pSample = NULL;
    IMFMediaBuffer *pBuffer = NULL;

    const LONG cbWidth = 4 * VIDEO_WIDTH;
    const DWORD cbBuffer = cbWidth * VIDEO_HEIGHT;

    BYTE *pData = NULL;

    // Create a new memory buffer.
    HRESULT hr = MFCreateMemoryBuffer(cbBuffer, &amp;pBuffer);

    // Lock the buffer and copy the video frame to the buffer.
    if(SUCCEEDED(hr)){
        hr = pBuffer-&gt;Lock(&amp;pData, NULL, NULL);
    }

    if(SUCCEEDED(hr)){

        hr = MFCopyImage(pData, cbWidth, (BYTE*)videoFrameBuffer, cbWidth, cbWidth, VIDEO_HEIGHT);
    }

    if(pBuffer){
        pBuffer-&gt;Unlock();
    }

    // Set the data length of the buffer.
    if(SUCCEEDED(hr)){
        hr = pBuffer-&gt;SetCurrentLength(cbBuffer);
    }

    // Create a media sample and add the buffer to the sample.
    if(SUCCEEDED(hr)){
        hr = MFCreateSample(&amp;pSample);
    }

    if(SUCCEEDED(hr)){
        hr = pSample-&gt;AddBuffer(pBuffer);
    }

    // Set the time stamp and the duration.
    if(SUCCEEDED(hr)){
        hr = pSample-&gt;SetSampleTime(rtStart);
    }

    if(SUCCEEDED(hr)){
        hr = pSample-&gt;SetSampleDuration(VIDEO_FRAME_DURATION);
    }

    // Send the sample to the Sink Writer.
    if(SUCCEEDED(hr)){
        hr = pWriter-&gt;WriteSample(streamIndex, pSample);
    }

    SafeRelease(&amp;pSample);
    SafeRelease(&amp;pBuffer);

    return hr;
}

void main(){

    HANDLE hFinalizeEvent = CreateEvent(NULL, FALSE, FALSE, NULL);

    if(hFinalizeEvent == NULL)
        return;

    // Set all pixels to green
    for(DWORD i = 0; i &lt; VIDEO_PELS; ++i){
        videoFrameBuffer[i] = 0x000000FF;
    }

    HRESULT hr = CoInitializeEx(NULL, COINIT_APARTMENTTHREADED);

    if(SUCCEEDED(hr)){

        hr = MFStartup(MF_VERSION);

        if(SUCCEEDED(hr)){

            IMFSinkWriterCallback* pCallBack = NULL;
            IMFSinkWriter *pSinkWriter = NULL;
            DWORD stream;

            pCallBack = new (std::nothrow)CMFSinkWriterCallback(hFinalizeEvent);

            hr = pCallBack ? S_OK : E_POINTER;

            if(SUCCEEDED(hr)){
              hr = InitializeSinkWriter(&amp;pSinkWriter, &amp;stream, pCallBack);
            }

            if(SUCCEEDED(hr)){

                // Send frames to the sink writer.
                LONGLONG rtStart = 0;

                for(DWORD i = 0; i &lt; VIDEO_FRAME_COUNT; ++i){

                    hr = WriteFrame(pSinkWriter, stream, rtStart);

                    if(FAILED(hr)){
                            break;
                    }

                    rtStart += VIDEO_FRAME_DURATION;
                }
            }

            if(SUCCEEDED(hr)){
                hr = pSinkWriter-&gt;Finalize();
                WaitForSingleObject(hFinalizeEvent, INFINITE);
            }

            SafeRelease(&amp;pCallBack);
            SafeRelease(&amp;pSinkWriter);
            MFShutdown();
        }

        CoUninitialize();
    }

    CloseHandle(hFinalizeEvent);
}
</code></pre>
"
662638,11817385,555518.0,2012-08-05T14:52:12Z,11817340,3,"<p>If you're using SQL Server, check out <code>SqlDependency</code> object combined with IIS <code>Cache</code>.  Basically, if the underlying recordset changes from Server1 and the content is updated in the database, all the other web servers will be notificed to update their local copies.  Under the covers, SqlDependency uses Service Broker, so you might want read up on that as well.</p>

<p>More info:</p>

<p><a href=""http://msdn.microsoft.com/en-us/library/ms178604.aspx"" rel=""nofollow"">Caching in ASP.NET with the SqlCacheDependency Class</a></p>
"
662639,11817404,361842.0,2012-08-05T14:54:37Z,11817340,4,"<p>If you're expecting to need this scalability from day 1, look into AppFabric: <a href=""http://www.slideshare.net/chrduf/scale-your-data-tier-with-windows-server-app-fabric"" rel=""nofollow"">http://www.slideshare.net/chrduf/scale-your-data-tier-with-windows-server-app-fabric</a></p>

<p><a href=""http://www.microsoft.com/en-us/server-cloud/windows-server/appfabric.aspx"" rel=""nofollow"">http://www.microsoft.com/en-us/server-cloud/windows-server/appfabric.aspx</a></p>

<p>If it's something you're expecting to see a lot further down the line it may be best to get on and write the app with what you know first with a view to refactoring to AppFabric later though.  That will allow you to get something out there, rather than bogged down in learning a new technology, so that when you come to refactor, you have a better understanding of your own product which will benefit you in making decisions on any new platforms.</p>
"
662640,11817434,1310467.0,2012-08-05T15:00:28Z,11817340,0,"<p>The below are some of the products that serves distributed cache with pub/sub machinism</p>

<p>1) Oracle's Coherence <a href=""http://coherence.oracle.com/display/COH34UG/Real+Time+Client+-+RTC"" rel=""nofollow"">http://coherence.oracle.com/display/COH34UG/Real+Time+Client+-+RTC</a> it is  also have .net version (port from java)</p>

<p>2) Windows AppFabric Distributed Caching <a href=""http://msdn.microsoft.com/en-us/library/ff383731(v=azure.10).aspx"" rel=""nofollow"">http://msdn.microsoft.com/en-us/library/ff383731(v=azure.10).aspx</a> this is similar to Coherence syntactically</p>

<p>Another cheap option is using Nodes.js</p>
"
1222975,23073628,1900189.0,2014-04-15T02:24:06Z,23071370,1,"<p>if you are asking for android then use <a href=""http://docs.appcelerator.com/titanium/3.0/#!/api/Titanium.UI.AlertDialog-property-androidView"" rel=""nofollow"">androidView</a> property of alertDialog. You can use any view like label or webview for hyperlink in android and assign it to alert dialog's view.</p>

<p><strong>For IOS you need custom View which would look like alert dialog</strong></p>
"
