,Id,OwnerUserId,CreationDate,ClosedDate,Score,Title,Body
523064,18165270,1375068.0,2013-08-10T18:49:10Z,,2,Enum property in parent class should change inside derive class,"<p>If I have in my Parent class property ConditionStatus of datatype ConditionEnum like</p>

<pre><code>interface IArticle
{
    ConditionEnum ConditionStatus {get; set;}
}
</code></pre>

<p>enum is represent like <code>ConditionEnum {New, Used};</code></p>

<p>I'm wonder how can I change this <code>ConditionEnum</code> in child class so that <code>ArticleA</code> which implements <code>IArticle</code> can have enum like <code>ConditionEnum {Red, Blue, Yellow};</code>
and <code>ArticleB</code> which also implements <code>IArticle</code> have <code>enum</code> like <code>ConditionEnum {Point, Comma, Slash};</code> I think you've got an idea.</p>

<p>How would you do it?</p>
"
6596,450630,379.0,2009-01-16T14:57:48Z,,0,Visual C++ 2005 hangs during qt builds,"<p>At my shop, the main product app is a mongrel built on MFC, QT and other random things devs have thrown in over the years.
In the current stack, Qt toolkit is on the way out, but still features heavily.</p>

<p>If I have SQL 2005 Management studio open and have to do a full build, it usually hangs a CPU (even after the offending process is taken out back and shot...) during the qt specific parts of the build (Moc'ing and UIC'ing)</p>

<p>has anyone seen anything like this? any ideas what the problem could be?</p>
"
1153885,37279810,2092927.0,2016-05-17T15:03:16Z,,1,Phinx migrations - explicit length of integer column,"<p>Can you tell me please if is possible to set explicit length of integer column via Phinx migrations <code>addColumn()</code> method? </p>

<p>Documentation uses limit option with <code>MysqlAdapter::INT_REGULAR</code> like <code>['limit' =&gt; MysqlAdapter::INT_SMALL, 'signed' =&gt; false]</code> but it automatically sets the length for column e.g. <code>int(10)</code>.</p>

<p>But what should I do if I need <code>int(11)</code> e.g for foreign key column?</p>

<p>Thx.</p>
"
1083874,35395440,4305114.0,2016-02-14T18:26:42Z,,0,Is object-oriented programming in Matlab suited to an econometric analysis workflow?,"<p>I have been reading about the benefits of object-oriented programming, but I cannot quite imagine how this would work for the kind of work I do in MATLAB. So far, I have mostly used scripts, functions, and structures for econometric analysis; importing and reformatting data from Excel (with some tolerance to non-standardised formatting of the Excel file); estimating a variety of models (whose specification at times differs only by a single parameter); creating and exporting figures, etc.</p>

<p>I am interested in the OOP paradigm because I have the impression that it may clean up my work space and reduce redundancy. However, all examples I have encountered pertain to applications that allow for a straightforward identification of which ""objects in the real world"" can be implemented as instances of a class in OOP. For econometrics, data analysis, and the like, I don't fully understand where the benefits of OOP would come in. I don't even know what would be the objects in my workflow (apart from the obvious model objects, which could just as well be structures).</p>

<p>If someone could outline whether and how OOP is applicable and valuable to an econometrics or general data analysis workflow, that would help me a lot.</p>
"
1039984,34189440,5659817.0,2015-12-09T21:35:27Z,,0,IMFSinkWriterCallback Never happens,"<p>I'm trying to get my IMFSinkWriter's Finalize() call to be asynchronous.</p>

<p>So I created this</p>

<pre><code>class MyMFSinkWriterCallback : public IMFSinkWriterCallback
{
public:
    MyMFSinkWriterCallback();
    virtual ~MyMFSinkWriterCallback();

    // IMFSinkWriterCallback methods
    STDMETHODIMP OnFinalize(HRESULT hrStatus);
    STDMETHODIMP OnMarker(DWORD dwStreamIndex, LPVOID pvContext);

    // IUnknown methods
    STDMETHODIMP QueryInterface(REFIID iid, void** ppv);
    STDMETHODIMP_(ULONG) AddRef();
    STDMETHODIMP_(ULONG) Release();

private:
    long m_nRefCount;
};

HRESULT MyMFSinkWriterCallback::OnFinalize(HRESULT hrStatus)
{
    OutputDebugStringA(""MyMFSinkWriterCallback::OnFinalize\n"");
    return S_OK;
}
</code></pre>

<p>And I installed it like this</p>

<pre><code>hr = pAttributes-&gt;SetUnknown(MF_SINK_WRITER_ASYNC_CALLBACK, new MyMFSinkWriterCallback());

if (SUCCEEDED(hr))
{
    hr = MFCreateSinkWriterFromURL(L""C:\test.mp4"", NULL, pAttributes, &amp;MySinkWriter);
}
</code></pre>

<p>QueryInterface, AddRef, and Release are all being called but when I end my capture like this</p>

<pre><code>OutputDebugStringA(""MySinkWriter-&gt;Finalize START\n"");
HRESULT hr = MySinkWriter-&gt;Finalize();
OutputDebugStringA(""MySinkWriter-&gt;Finalize END\n"");
</code></pre>

<p>All I see in my output log is</p>

<p>MySinkWriter->Finalize START</p>

<p>MySinkWriter->Finalize END</p>

<p>I never see</p>

<p>MyMFSinkWriterCallback::OnFinalize</p>
"
328199,11817340,909902.0,2012-08-05T14:45:56Z,,1,Scaling in ASP.NET,"<p>I have some questions about scaling with ASP.NET environment. I'm in the start to build an application that I hope will get a lots of users, and if that's the case I need to know more about scaling.</p>

<p>It's heavly depends on user generated content, other users needs to be notified when content change by pooling AJAX calls, WebSockets it's not an option.</p>

<p>I know the basic stuff don't read from DB, put in memory, but how to do this in a webfarm?</p>

<p>How should the system handle if user content are created on Webserver 1, and the other users are request objects from Webserver 2. How does we notify the users without haveing to go thru DB? Making a lots of internal requests? Using some distributed cache?</p>
"
674989,23071370,1283845.0,2014-04-14T22:15:13Z,,0,Add Hyperlink to Alert with Titanium,"<p>Is it possible to add a hyperlink to an alert box when using Titanium? If so, how? </p>
"
909296,30368940,4923784.0,2015-05-21T08:55:06Z,,0,How to select Values from Datatable which appears once,"<p>myDataTable has a column named <code>ORDER_NO</code>. I would like to select the rows from this table which appears once. If a value appears two times than it should not selected. 
<code>ORDER_NO</code> contain Values</p>

<pre><code>1000A
1001A
1001B
1002A
1002B
1002C
1000A
1001A
1001B
</code></pre>

<p>I want to select only form the values above are:</p>

<pre><code>1002A
1002B
1002C
</code></pre>

<p>as they appears once in the column. Can anyone help?</p>
"
949085,31573240,5144257.0,2015-07-22T20:20:32Z,,1,SQL Query: how to return only the first and last instance?,"<p>I have a table that shows the status of each case with multiple jobs being performed simultaneously, I would like to have the results displayed so that it only shows the first and last instance.  (Mainly I want to know when the job was first started and what's its last known status).  </p>

<p>I've managed to get the results with 2 similar min, max, and group by queries joined by an UNION function.  But is there a simpler way?   </p>

<p>However, would it be possible to display the 2 instances on one line instead of 2 separate lines?  because the date from the first instance will be the start date and the last instance will be the end date, and i don't really care about the first status because it's always pending, i just want to know what's the last known status</p>

<p>1st table shows unfiltered results and 2nd table is desired results (but if we can combine the first and last instance on one line that'd be even better)                       </p>

<pre><code>ID  Status      Date       Job  Note
1   pending     1-Jul       A   abc
1   pending     2-Jul       A   xyz
1   pending     2-Jul       A   abc
1   done        3-Jul       B   xyz
1   done        4-Jul       A   abc
2   pending     1-Jul       A   abc
2   done        2-Jul       A   xyz
2   done        2-Jul       A   abc
2   pending     3-Jul       C   xyz
2   pending     4-Jul       C   xyz
2   pending     5-Jul       C   xyz
2   pending     6-Jul       C   xyz
3   pending     2-Jul       D   xyz
3   done        3-Jul       D   abc
3   pending     4-Jul       D   abc
3   pending     1-Jul       E   xyz
3   done        3-Jul       E   xyz

ID  Status      Date       Job  Note
1   pending     1-Jul       A   abc
1   done        3-Jul       B   xyz
1   done        4-Jul       A   abc
2   pending     1-Jul       A   abc
2   done        2-Jul       A   abc
2   pending     3-Jul       C   xyz
2   pending     6-Jul       C   xyz
3   pending     2-Jul       D   xyz
3   pending     4-Jul       D   abc
3   pending     1-Jul       E   xyz
3   done        3-Jul       E   xyz
</code></pre>

<p>Thank you very much in advance</p>
"
1028493,33880150,4646662.0,2015-11-23T20:32:39Z,,0,Creating a centered View with Labels,"<p>I am trying to create a <code>UIView A</code> that's has a <code>UIView B</code> which is centered in <code>UIView A</code> and holds two <code>UILabel A &amp; B</code>, but it's not centering the <code>UILabels</code>. This is my code</p>

<pre><code>private func generateView(header: String, below: String) {
    let size: CGSize = self.view.frame.size
    let mainView = UIView(frame: CGRectMake(0, 0, size.width, size.height))
    mainView.backgroundColor = UIColor.clearColor()
    let contentHolderView = UIView(frame: CGRectMake(0, 0, 350, 172))
    contentHolderView.backgroundColor = UIColor.clearColor()
    let headerLabel = UILabel(frame: CGRectMake(38, 24, 298, 34))
    let belowLabel = UILabel(frame: CGRectMake(14, 66, 344, 83))
    belowLabel.numberOfLines = 0

    headerLabel.text = header
    belowLabel.text = below

    headerLabel.textColor = UIColor.blackColor()
    belowLabel.textColor = UIColor.blackColor()

    headerLabel.font = UIFont(name: ""BrandonGrotesque-Bold"", size: 30)
    belowLabel.font = UIFont(name: ""BrandonGrotesque-Light"", size: 20)

    headerLabel.textAlignment = .Center
    belowLabel.textAlignment = .Center

    contentHolderView.addSubview(headerLabel)
    contentHolderView.addSubview(belowLabel)
    contentHolderView.center = mainView.center
    mainView.addSubview(contentHolderView)
    mainView.center = self.view.center
    self.view.addSubview(mainView)
}
</code></pre>

<p>And this is what I'm trying to achieve and this is what I'm getting and what I'm trying to achieve</p>

<p><a href=""http://i.stack.imgur.com/SLiIr.png"" rel=""nofollow""><img src=""http://i.stack.imgur.com/SLiIr.png"" alt=""My Achievement""></a></p>
"
